Wall time,Step,Value
1551635996.5358598,12134,32.875
1551636115.7601676,12154,23.0
1551636235.4849973,12174,38.75
1551636595.8791232,12234,22.375
1551637076.0235772,12314,36.125
1551637196.4815538,12334,40.0
1551637316.168659,12354,34.875
1551637436.2238097,12374,30.5
1551637556.4353213,12394,24.25
1551637676.3917768,12414,31.5
1551637796.571246,12434,39.125
1551637916.296156,12454,21.25
1551638276.4840257,12514,28.0
1551638396.4156363,12534,35.625
1551638516.3248181,12554,28.125
1551638635.9767869,12574,30.25
1551638876.1184177,12614,25.5
1551638996.337656,12634,15.625
1551639116.43561,12654,27.5
1551639356.190599,12694,28.125
1551639476.1659956,12714,29.75
1551639596.4188917,12734,21.125
1551639716.3836365,12754,36.625
1551639836.199131,12774,23.5
1551639956.2955496,12794,24.375
1551640076.4176826,12814,36.25
1551640196.624135,12834,28.875
1551640316.3786485,12854,38.5
1551640436.383865,12874,25.375
1551640556.4953668,12894,33.75
1551640676.4898024,12914,20.375
1551640796.205078,12934,23.625
1551640916.4839354,12954,37.0
1551641036.4427328,12974,30.375
1551641156.7321663,12994,29.75
1551641515.9458919,13053,28.125
1551641635.5861955,13073,19.75
1551641875.4333112,13113,26.625
1551641996.2167165,13133,29.75
1551642116.2478685,13153,24.75
1551642236.155406,13173,39.125
1551642356.0602996,13192,30.625
1551642476.2265842,13213,36.875
1551642596.3432162,13233,24.875
1551642715.5611913,13253,23.625
1551642835.592403,13273,37.625
1551642956.1092584,13294,29.75
1551643076.4397974,13314,28.125
1551643315.653322,13354,24.75
1551643435.4617987,13374,42.875
1551643555.7365367,13394,22.625
1551643676.5643568,13415,32.875
1551643796.478246,13435,24.75
1551643915.790589,13455,28.375
1551644035.4890125,13475,28.125
1551644155.6014676,13495,31.375
1551644276.0400283,13515,29.125
1551644396.6418476,13536,36.5
1551644515.9774427,13556,20.5
1551644635.6082363,13576,34.375
1551644755.5127985,13596,33.625
1551644876.323789,13617,26.25
1551644996.5826585,13637,29.375
1551645115.6912103,13657,34.75
1551645235.6315198,13677,26.25
1551645356.0660338,13697,24.875
1551645476.3128364,13718,24.875
1551645596.580001,13738,30.5
1551645835.5244474,13778,26.25
1551646075.9064908,13818,24.25
1551646316.3635519,13859,27.375
1551646675.6830783,13919,35.25
1551646796.297716,13939,32.375
1551646915.540872,13959,42.0
1551647035.9034028,13979,35.375
1551647156.0377946,14000,36.5
1551647276.278258,14020,36.375
1551647396.5160105,14040,28.25
1551647516.0291748,14060,31.0
1551647635.9734237,14080,37.75
1551647755.4887254,14100,26.0
1551647875.4783652,14120,32.25
1551647996.2418387,14140,14.625
1551648116.0510402,14160,26.5
1551648475.8574216,14221,28.5
1551648595.9207275,14241,35.0
1551648715.556755,14261,29.75
1551648955.9943163,14301,20.25
1551649076.3609772,14322,31.25
1551649196.7552402,14342,28.375
1551649316.0670054,14362,36.375
1551649435.712246,14382,29.25
1551649555.6070046,14402,18.5
1551649675.476736,14422,23.875
1551649796.0534108,14442,26.75
1551649915.72036,14462,32.25
1551650156.1871817,14502,33.75
1551650276.1132588,14523,35.5
1551650396.2288957,14543,16.375
1551650516.3778255,14563,44.125
1551650636.1665268,14583,30.75
1551650875.8272173,14623,24.375
1551650995.9152918,14643,42.375
1551651115.5899997,14663,35.75
1551651235.7301452,14683,33.375
1551651355.7175643,14703,34.75
1551651476.128711,14723,30.5
1551651596.5966115,14744,23.0
1551651716.5159209,14764,29.125
1551651836.2733793,14784,31.875
1551651955.8928978,14804,41.0
1551652075.5749285,14824,33.625
1551652196.0948577,14844,22.5
1551652315.4476094,14864,37.625
1551652435.4447773,14884,34.375
1551652676.3311005,14925,41.75
1551652796.5667093,14945,30.5
1551652915.7076397,14965,31.375
1551653035.6959662,14985,22.875
1551653155.5842814,15005,24.375
1551653275.5932796,15025,34.0
1551653396.0932028,15045,23.125
1551653515.65629,15065,33.875
1551653876.0405002,15126,31.5
1551653996.1022973,15146,36.125
1551654235.6243668,15186,34.5
1551654355.4904666,15206,27.0
1551654475.763212,15226,21.375
1551654596.5561004,15247,34.125
1551654716.2894228,15267,37.0
1551654836.2389069,15287,23.25
1551655076.078875,15327,36.125
1551655196.1187296,15347,30.625
1551655315.7224586,15367,37.625
1551655435.489326,15387,32.5
1551655555.7957025,15407,31.5
1551655675.6820269,15427,34.875
1551655796.519107,15448,33.5
1551655916.5846891,15468,30.75
1551656155.7532375,15508,23.625
1551656275.6879776,15528,51.0
1551656395.951411,15548,38.625
1551656515.6835768,15568,29.25
1551656635.6519618,15588,39.75
1551656756.1119266,15608,29.125
1551656876.2653983,15629,38.5
1551656996.7386475,15649,34.25
1551657116.385539,15669,29.25
1551657235.7802224,15689,40.875
1551657355.4876242,15709,27.625
1551657475.4990835,15729,28.375
1551657595.9731765,15749,41.75
1551657715.9078193,15769,34.0
1551657835.979028,15790,30.25
1551657956.49664,15810,27.625
1551658076.1217706,15830,27.0
1551658196.0859308,15850,28.5
1551658315.5380237,15870,24.375
1551658435.4672534,15890,29.375
1551658555.781929,15910,25.25
1551658676.1082826,15931,29.625
1551658796.7683778,15951,24.625
1551659035.8675988,15991,26.375
1551659155.4551759,16011,35.625
1551659275.58045,16031,22.75
1551659396.427781,16052,29.5
1551659516.4122393,16072,35.875
1551659636.3737664,16092,26.5
1551659756.1445615,16112,29.875
1551659876.110206,16132,21.125
1551660115.6591597,16172,26.375
1551660235.4868553,16192,28.0
1551660355.4250646,16212,38.625
1551660475.7778785,16232,29.625
1551660596.0725904,16252,43.0
1551660715.7515323,16272,29.75
1551660956.484101,16313,34.25
1551661076.3974645,16333,34.625
1551661196.4353423,16353,30.0
1551661315.9057286,16373,28.375
1551661555.5608413,16413,27.75
1551661675.5195618,16433,25.625
1551661795.956195,16453,33.625
1551662156.2899458,16514,29.25
1551662275.9434254,16534,30.375
1551662396.0453942,16554,26.625
1551662515.5955787,16574,36.125
1551662635.4569092,16594,33.375
1551662755.7748742,16614,28.0
1551662876.0597444,16635,36.5
1551662996.9653218,16655,21.125
1551663116.2488067,16675,29.875
1551663236.1941743,16695,21.375
1551663355.4341464,16715,24.0
1551663475.4158726,16735,26.125
1551663596.3593576,16755,25.875
